Nome antigo,Nome novo,Status
BS00702E-PAL-DEU.jpg,Call of Cthulhu Dark Corners of the Ear - PAL - DEU.jpg,RENOMEADO
BS00702E-PAL-FRA.jpg,Call of Cthulhu Dark Corners of the Ear - PAL - FRA.jpg,RENOMEADO
BS00702E.jpg,Call of Cthulhu Dark Corners of the Ear (2).jpg,RENOMEADO
BS00901A.jpg,AMF Bowling 2004.jpg,RENOMEADO
BS01001A.jpg,Malice.jpg,RENOMEADO
BS01101A.jpg,Powerdrome.jpg,RENOMEADO
BS01102E-PAL-AUS.jpg,Powerdrome - PAL - AUS.jpg,RENOMEADO
BS01102E.jpg,Powerdrome (2).jpg,RENOMEADO
BS01201A.jpg,IHRA Pro 2005.jpg,RENOMEADO
BS01501A.jpg,High Rollers Casino.jpg,RENOMEADO
BS01701A.jpg,IHRA Sportsman.jpg,RENOMEADO
BS01801A.jpg,Breeders' Cup World Thoroughbred Champio.jpg,RENOMEADO
BS02001A.jpg,AMF Xtreme Bowling 2006.jpg,RENOMEADO
BU00101J.jpg,DOUBLE-STEAL.jpg,RENOMEADO
BU00401J.jpg,DOUBLE S.T.E.A.L SECOND CLASH.jpg,RENOMEADO
BV00102W-PAL-GBR.jpg,Tron 2.0 Killer App - PAL - GBR.jpg,RENOMEADO
BV00102W.jpg,Tron 2.0 Killer App.jpg,RENOMEADO
BV00201W.jpg,Chicken Little.jpg,RENOMEADO
BV00202E.jpg,Chicken Little (2).jpg,RENOMEADO
BV00301K-NTSC-UC.jpg,"The Chronicles of Narnia The Lion, the - NTSC - UC.jpg",RENOMEADO
BV00301K.jpg,"The Chronicles of Narnia The Lion, the.jpg",RENOMEADO
BV00401A-NTSC-UC.jpg,Tim Burton's The Nightmare Before Christ - NTSC - UC.jpg,RENOMEADO
BV00401A.jpg,Tim Burton's The Nightmare Before Christ.jpg,RENOMEADO
BV00402E.jpg,Tim Burton's The Nightmare Before Christ (2).jpg,RENOMEADO
BW00102E.jpg,Robot Wars Extreme Destruction.jpg,RENOMEADO
CC00102E.jpg,GENMA ONIMUSHA.jpg,RENOMEADO
CC00103J.jpg,GENMA ONIMUSHA (2).jpg,RENOMEADO
CC00104A.jpg,GENMA ONIMUSHA (3).jpg,RENOMEADO
CC00201A.jpg,STEEL BATTALION.jpg,RENOMEADO
CC00202E.jpg,STEEL BATTALION (2).jpg,RENOMEADO
CC00203J.jpg,TEKKI.jpg,RENOMEADO
CC00302E.jpg,DINO CRISIS 3.jpg,RENOMEADO
CC00303J.jpg,DINO CRISIS 3 (2).jpg,RENOMEADO
CC00304K.jpg,DINO CRISIS 3 (3).jpg,RENOMEADO
CC00401J.jpg,UFC2 TAPOUT.jpg,RENOMEADO
CC00503E-PAL-DEU.jpg,GROUP-S - PAL - DEU.jpg,RENOMEADO
CC00503E.jpg,GROUP-S.jpg,RENOMEADO
CC00504J.jpg,CIRCUS DRIVE.jpg,RENOMEADO
CC00505K.jpg,GROUP-S (2).jpg,RENOMEADO
CC00701J.jpg,MARVEL VS. CAPCOM2.jpg,RENOMEADO
CC00702A.jpg,MARVEL VS. CAPCOM2 (2).jpg,RENOMEADO
CC00801J.jpg,CAPCOM VS. SNK2 EO.jpg,RENOMEADO
CC00802A.jpg,CAPCOM VS. SNK2 EO (2).jpg,RENOMEADO
CC00901W-PAL-GBR.jpg,,NAO IDENTIFICADO
CC00901W.jpg,,NAO IDENTIFICADO
CC01001J.jpg,Spider-Man (4).jpg,RENOMEADO
CC01101J.jpg,LAKEMASTERS.jpg,RENOMEADO
CC01102A.jpg,PROCAST.jpg,RENOMEADO
CC01103E.jpg,PROCAST (2).jpg,RENOMEADO
CC01202E-PAL-DEU.jpg,Robin HoodDotC - PAL - DEU.jpg,RENOMEADO
CC01202E-PAL-FRA.jpg,Robin HoodDotC - PAL - FRA.jpg,RENOMEADO
CC01202E.jpg,Robin HoodDotC.jpg,RENOMEADO
CC01203K.jpg,Robin HoodDotC (2).jpg,RENOMEADO
CC01402W-NTSC-J.jpg,auto modellista - NTSC - J.jpg,RENOMEADO
CC01402W.jpg,auto modellista.jpg,RENOMEADO
CC01503W.jpg,Street Fighter Anniversary Collection.jpg,RENOMEADO
CC01504W.jpg,Street Fighter Anniversary Collection (2).jpg,RENOMEADO
CC01601W-NTSC-J.jpg,Capcom Fighting Evo.Jam - NTSC - J.jpg,RENOMEADO
CC01601W.jpg,Capcom Fighting Evo.Jam.jpg,RENOMEADO
CC01701A.jpg,Megaman Anniversary Collection.jpg,RENOMEADO
CC01901A.jpg,Final Fight Streetwise.jpg,RENOMEADO
CC01902E.jpg,Final Fight Streetwise (2).jpg,RENOMEADO
CC02003W-PAL-GBR.jpg,Without Warning - PAL - GBR.jpg,RENOMEADO
CC02003W.jpg,Without Warning.jpg,RENOMEADO
CC02101J.jpg,BeatDown.jpg,RENOMEADO
CC02102A.jpg,BeatDown - Fists of Vengeance.jpg,RENOMEADO
CC02201A.jpg,Darkwatch.jpg,RENOMEADO
CC02401W-PAL-DEU.jpg,Capcom Classics Collection - PAL - DEU.jpg,RENOMEADO
CC02401W-PAL-GBR.jpg,Capcom Classics Collection - PAL - GBR.jpg,RENOMEADO
CC02401W.jpg,Capcom Classics Collection.jpg,RENOMEADO
CC02501K.jpg,Capcom Classics Vol. 2.jpg,RENOMEADO
CK00101J.jpg,大戦略VII.jpg,RENOMEADO
CK00102A.jpg,Dai Senryaku VII.jpg,RENOMEADO
CM00101E-PAL-DEU.jpg,Colin McRae Rally 3 - PAL - DEU.jpg,RENOMEADO
CM00101E.jpg,Colin McRae Rally 3.jpg,RENOMEADO
CM00104A.jpg,Colin McRae Rally 3 (2).jpg,RENOMEADO
CM00202E.jpg,Race Driver.jpg,RENOMEADO
CM00203A.jpg,Race Driver (2).jpg,RENOMEADO
CM00205E.jpg,Race Driver (3).jpg,RENOMEADO
CM00301A.jpg,Mike Tyson Heavyweight Boxing.jpg,RENOMEADO
CM00302E.jpg,Mike Tyson Heavyweight Boxing (2).jpg,RENOMEADO
CM00406E.jpg,LMA Manager 2003.jpg,RENOMEADO
